CustomerID,PurchaseFrequency,CohortMonth,FrequencySegment
13429,4,01-10-2011,Medium Frequency
13430,2,,Medium Frequency
13431,2,01-09-2011,Medium Frequency
13434,2,01-09-2011,Medium Frequency
13435,7,01-06-2011,High Frequency
13436,1,01-12-2011,Low Frequency
13437,7,01-06-2011,High Frequency
13439,1,,Low Frequency
13441,1,01-09-2011,Low Frequency
13447,3,01-11-2011,Medium Frequency
13448,6,01-12-2010,High Frequency
13449,1,,Low Frequency
13450,6,01-05-2011,High Frequency
13451,5,01-01-2011,High Frequency
13452,2,,Medium Frequency
13453,2,,Medium Frequency
13455,2,01-12-2010,Medium Frequency
13456,6,01-07-2011,High Frequency
13458,14,01-01-2011,High Frequency
13460,2,01-11-2011,Medium Frequency
13461,3,01-11-2011,Medium Frequency
13462,1,01-04-2011,Low Frequency
13464,1,01-10-2011,Low Frequency
13466,1,01-06-2011,Low Frequency
13467,2,01-11-2011,Medium Frequency
13468,37,01-12-2010,High Frequency
13470,2,01-09-2011,Medium Frequency
13471,4,01-12-2011,Medium Frequency
13473,2,01-01-2011,Medium Frequency
13474,1,,Low Frequency
13475,4,01-05-2011,Medium Frequency
13476,2,01-03-2011,Medium Frequency
13477,6,01-05-2011,High Frequency
13479,2,,Medium Frequency
13481,5,,High Frequency
13482,1,,Low Frequency
13483,1,01-10-2011,Low Frequency
13484,1,01-04-2011,Low Frequency
13485,1,,Low Frequency
13486,3,01-07-2011,Medium Frequency
13487,3,01-05-2011,Medium Frequency
13488,13,01-12-2010,High Frequency
13489,4,01-07-2011,Medium Frequency
13491,10,01-12-2010,High Frequency
13492,3,01-05-2011,Medium Frequency
13493,2,01-03-2011,Medium Frequency
13494,1,01-02-2011,Low Frequency
13495,5,01-12-2010,High Frequency
13496,2,,Medium Frequency
13497,2,01-12-2010,Medium Frequency
13499,5,01-11-2011,High Frequency
13500,3,01-08-2011,Medium Frequency
13501,1,,Low Frequency
13502,3,01-03-2011,Medium Frequency
13503,1,,Low Frequency
13504,1,01-10-2011,Low Frequency
13505,4,,Medium Frequency
13506,2,01-12-2010,Medium Frequency
13507,4,01-09-2011,Medium Frequency
13508,1,01-04-2011,Low Frequency
13509,7,01-03-2011,High Frequency
13510,4,01-06-2011,Medium Frequency
13512,1,,Low Frequency
13513,1,01-08-2011,Low Frequency
13514,1,,Low Frequency
13515,4,01-04-2011,Medium Frequency
13516,3,,Medium Frequency
13517,3,01-10-2011,Medium Frequency
13518,1,,Low Frequency
13519,1,,Low Frequency
13520,6,01-12-2010,High Frequency
13521,3,01-12-2011,Medium Frequency
13522,1,01-11-2011,Low Frequency
13523,5,01-12-2010,High Frequency
13524,5,01-05-2011,High Frequency
13525,2,01-04-2011,Medium Frequency
13527,7,01-09-2011,High Frequency
13529,2,,Medium Frequency
13531,2,01-12-2010,Medium Frequency
13532,1,01-11-2011,Low Frequency
13533,3,01-06-2011,Medium Frequency
13534,25,01-01-2011,High Frequency
13536,7,01-12-2011,High Frequency
13538,7,01-03-2011,High Frequency
13539,3,01-02-2011,Medium Frequency
13544,2,,Medium Frequency
13546,3,,Medium Frequency
13548,2,01-04-2011,Medium Frequency
13549,7,01-04-2011,High Frequency
13551,1,,Low Frequency
13552,12,01-08-2011,High Frequency
13555,4,,Medium Frequency
13557,2,01-03-2011,Medium Frequency
13558,4,01-10-2011,Medium Frequency
13560,1,01-12-2011,Low Frequency
13561,1,01-05-2011,Low Frequency
13562,3,01-04-2011,Medium Frequency
13563,2,,Medium Frequency
13564,3,01-12-2010,Medium Frequency
13565,2,01-01-2011,Medium Frequency
13566,2,,Medium Frequency
13568,1,,Low Frequency
13569,2,01-12-2010,Medium Frequency
13570,1,01-04-2011,Low Frequency
13571,12,01-06-2011,High Frequency
13572,1,,Low Frequency
13573,2,,Medium Frequency
13575,5,01-10-2011,High Frequency
13576,18,01-12-2010,High Frequency
13577,4,01-04-2011,Medium Frequency
13579,2,01-12-2010,Medium Frequency
13581,1,01-02-2011,Low Frequency
13583,1,01-07-2011,Low Frequency
13584,1,01-02-2011,Low Frequency
13587,1,01-10-2011,Low Frequency
13588,9,01-08-2011,High Frequency
13589,2,,Medium Frequency
13590,6,01-02-2011,High Frequency
13591,3,01-10-2011,Medium Frequency
13592,4,01-05-2011,Medium Frequency
13593,5,01-01-2011,High Frequency
13594,1,,Low Frequency
13596,2,01-12-2011,Medium Frequency
13598,1,,Low Frequency
13599,21,01-12-2010,High Frequency
13600,1,,Low Frequency
13601,2,01-05-2011,Medium Frequency
13602,1,01-10-2011,Low Frequency
13603,1,,Low Frequency
13606,3,01-02-2011,Medium Frequency
13607,1,,Low Frequency
13610,7,01-04-2011,High Frequency
13611,3,01-09-2011,Medium Frequency
13614,4,01-09-2011,Medium Frequency
13615,1,,Low Frequency
13617,3,01-06-2011,Medium Frequency
13618,1,,Low Frequency
13621,1,,Low Frequency
13623,5,01-04-2011,High Frequency
13626,1,01-04-2011,Low Frequency
13627,5,01-10-2011,High Frequency
13629,11,01-01-2011,High Frequency
13630,7,01-04-2011,High Frequency
13631,11,01-09-2011,High Frequency
13632,5,01-04-2011,High Frequency
13634,5,01-04-2011,High Frequency
13635,1,01-10-2011,Low Frequency
13636,5,01-04-2011,High Frequency
13637,3,01-06-2011,Medium Frequency
13638,1,,Low Frequency
13639,1,,Low Frequency
13642,1,01-05-2011,Low Frequency
13643,3,01-06-2011,Medium Frequency
13644,4,,Medium Frequency
13645,1,01-08-2011,Low Frequency
13647,4,,Medium Frequency
13649,2,01-12-2010,Medium Frequency
13650,6,01-09-2011,High Frequency
13651,2,01-11-2011,Medium Frequency
13652,3,01-12-2010,Medium Frequency
13654,6,01-03-2011,High Frequency
13655,2,01-04-2011,Medium Frequency
13656,2,01-01-2011,Medium Frequency
13657,2,,Medium Frequency
13658,5,,High Frequency
13659,2,,Medium Frequency
13662,3,01-05-2011,Medium Frequency
13663,1,,Low Frequency
13666,3,01-10-2011,Medium Frequency
13667,1,,Low Frequency
13668,21,01-12-2010,High Frequency
13669,2,,Medium Frequency
13670,1,,Low Frequency
13672,2,01-01-2011,Medium Frequency
13673,2,01-11-2011,Medium Frequency
13675,2,01-07-2011,Medium Frequency
13678,1,01-07-2011,Low Frequency
13680,4,01-01-2011,Medium Frequency
13681,4,01-07-2011,Medium Frequency
13682,1,01-06-2011,Low Frequency
13684,1,,Low Frequency
13685,7,01-10-2011,High Frequency
13686,1,01-06-2011,Low Frequency
13689,1,01-10-2011,Low Frequency
13690,1,01-10-2011,Low Frequency
13692,3,01-05-2011,Medium Frequency
13694,50,01-12-2010,High Frequency
13695,15,01-05-2011,High Frequency
13697,1,01-11-2011,Low Frequency
13699,1,01-07-2011,Low Frequency
13700,10,01-04-2011,High Frequency
13703,1,,Low Frequency
13704,9,01-09-2011,High Frequency
13705,3,01-12-2010,Medium Frequency
13706,1,01-02-2011,Low Frequency
13707,2,,Medium Frequency
13708,1,,Low Frequency
13709,13,01-08-2011,High Frequency
13710,1,01-11-2011,Low Frequency
13711,2,01-05-2011,Medium Frequency
13712,1,01-04-2011,Low Frequency
13715,5,01-12-2010,High Frequency
13716,1,,Low Frequency
13717,6,01-08-2011,High Frequency
13718,2,01-04-2011,Medium Frequency
13719,5,01-11-2011,High Frequency
13720,4,,Medium Frequency
13721,1,01-11-2011,Low Frequency
13722,3,01-03-2011,Medium Frequency
13723,1,01-05-2011,Low Frequency
13725,8,01-02-2011,High Frequency
13726,2,01-11-2011,Medium Frequency
13727,2,01-11-2011,Medium Frequency
13728,6,01-02-2011,High Frequency
13730,2,01-07-2011,Medium Frequency
13731,2,01-04-2011,Medium Frequency
13732,1,01-11-2011,Low Frequency
13735,4,,Medium Frequency
13736,2,01-12-2011,Medium Frequency
13737,1,,Low Frequency
13739,1,,Low Frequency
13740,1,,Low Frequency
13741,3,01-05-2011,Medium Frequency
13742,12,01-05-2011,High Frequency
13743,7,01-05-2011,High Frequency
13744,2,01-09-2011,Medium Frequency
13745,1,,Low Frequency
13747,1,01-12-2010,Low Frequency
13748,5,01-12-2010,High Frequency
13750,5,01-01-2011,High Frequency
13751,1,,Low Frequency
13752,6,01-04-2011,High Frequency
13753,1,,Low Frequency
13754,2,01-07-2011,Medium Frequency
13755,9,01-10-2011,High Frequency
13756,14,01-12-2010,High Frequency
13758,7,01-12-2010,High Frequency
13759,2,01-11-2011,Medium Frequency
13760,2,,Medium Frequency
13761,2,,Medium Frequency
13762,1,01-05-2011,Low Frequency
13763,1,01-10-2011,Low Frequency
13764,3,01-01-2011,Medium Frequency
13767,37,01-12-2010,High Frequency
13769,10,01-12-2010,High Frequency
13771,4,01-04-2011,Medium Frequency
13772,3,01-09-2011,Medium Frequency
13774,1,,Low Frequency
13777,33,01-12-2010,High Frequency
13778,1,,Low Frequency
13780,2,01-12-2011,Medium Frequency
13781,1,01-04-2011,Low Frequency
13782,6,01-08-2011,High Frequency
13784,11,01-01-2011,High Frequency
13786,1,01-12-2010,Low Frequency
13787,2,01-12-2010,Medium Frequency
13790,1,01-12-2011,Low Frequency
13791,2,01-08-2011,Medium Frequency
13792,2,01-10-2011,Medium Frequency
13798,57,01-12-2010,High Frequency
13799,2,,Medium Frequency
13800,1,01-02-2011,Low Frequency
13801,1,01-10-2011,Low Frequency
13802,3,01-02-2011,Medium Frequency
13803,1,,Low Frequency
13804,7,01-07-2011,High Frequency
13805,2,01-08-2011,Medium Frequency
13806,1,01-10-2011,Low Frequency
13807,1,01-12-2010,Low Frequency
13808,5,01-09-2011,High Frequency
13809,1,01-02-2011,Low Frequency
13810,3,01-11-2011,Medium Frequency
13811,3,01-06-2011,Medium Frequency
13812,3,01-10-2011,Medium Frequency
13813,4,01-09-2011,Medium Frequency
13814,2,01-09-2011,Medium Frequency
13815,4,,Medium Frequency
13816,2,01-10-2011,Medium Frequency
13817,2,01-11-2011,Medium Frequency
13819,3,01-02-2011,Medium Frequency
13821,2,,Medium Frequency
13822,2,01-12-2011,Medium Frequency
13823,2,01-09-2011,Medium Frequency
13824,5,01-02-2011,High Frequency
13826,1,,Low Frequency
13827,3,,Medium Frequency
13828,1,,Low Frequency
13831,6,01-12-2010,High Frequency
13832,1,,Low Frequency
13833,1,01-07-2011,Low Frequency
13835,4,01-05-2011,Medium Frequency
13837,2,01-05-2011,Medium Frequency
13838,4,01-12-2010,Medium Frequency
13841,1,01-04-2011,Low Frequency
13842,9,01-12-2010,High Frequency
13844,1,,Low Frequency
13845,1,01-10-2011,Low Frequency
13846,3,01-04-2011,Medium Frequency
13848,3,01-12-2010,Medium Frequency
13849,2,,Medium Frequency
13850,1,01-08-2011,Low Frequency
13851,3,01-08-2011,Medium Frequency
13853,1,,Low Frequency
13854,25,01-12-2010,High Frequency
13856,3,01-06-2011,Medium Frequency
13858,1,,Low Frequency
13859,1,,Low Frequency
13860,5,01-12-2011,High Frequency
13862,8,01-01-2011,High Frequency
13863,1,01-04-2011,Low Frequency
13865,4,01-06-2011,Medium Frequency
13866,1,,Low Frequency
13867,3,01-05-2011,Medium Frequency
13868,2,01-11-2011,Medium Frequency
13869,4,01-08-2011,Medium Frequency
13870,8,01-12-2011,High Frequency
13871,13,01-02-2011,High Frequency
13873,3,01-02-2011,Medium Frequency
13874,1,,Low Frequency
13875,5,01-02-2011,High Frequency
13876,1,01-10-2011,Low Frequency
13877,1,,Low Frequency
13878,1,,Low Frequency
13880,13,01-12-2010,High Frequency
13881,20,01-02-2011,High Frequency
13882,5,01-10-2011,High Frequency
13883,5,01-05-2011,High Frequency
13884,5,01-03-2011,High Frequency
13885,2,01-06-2011,Medium Frequency
13886,1,,Low Frequency
13887,1,,Low Frequency
13888,2,01-05-2011,Medium Frequency
13889,1,01-09-2011,Low Frequency
13890,10,01-11-2011,High Frequency
13892,4,01-04-2011,Medium Frequency
13893,1,,Low Frequency
13894,3,01-02-2011,Medium Frequency
13895,4,01-10-2011,Medium Frequency
13897,1,,Low Frequency
13898,1,,Low Frequency
13899,2,01-03-2011,Medium Frequency
13900,3,01-06-2011,Medium Frequency
13901,5,01-07-2011,High Frequency
13904,2,01-11-2011,Medium Frequency
13908,4,01-03-2011,Medium Frequency
13911,9,01-02-2011,High Frequency
13914,2,01-11-2011,Medium Frequency
13917,2,01-06-2011,Medium Frequency
13918,2,,Medium Frequency
13919,2,01-08-2011,Medium Frequency
13922,1,,Low Frequency
13923,1,,Low Frequency
13924,6,01-11-2011,High Frequency
13925,4,01-08-2011,Medium Frequency
13926,1,,Low Frequency
13927,1,,Low Frequency
13928,4,01-11-2011,Medium Frequency
13929,2,,Medium Frequency
13930,2,,Medium Frequency
13931,2,01-03-2011,Medium Frequency
13932,1,,Low Frequency
13933,2,,Medium Frequency
13934,1,,Low Frequency
13936,1,,Low Frequency
13937,1,,Low Frequency
13938,1,01-11-2011,Low Frequency
13939,3,01-02-2011,Medium Frequency
13940,4,01-10-2011,Medium Frequency
13941,5,01-12-2010,High Frequency
13946,3,,Medium Frequency
13947,1,01-10-2011,Low Frequency
13948,1,,Low Frequency
13949,6,01-09-2011,High Frequency
13950,4,01-04-2011,Medium Frequency
13951,3,,Medium Frequency
13952,2,01-05-2011,Medium Frequency
13953,7,01-03-2011,High Frequency
13954,2,01-12-2011,Medium Frequency
13955,2,01-02-2011,Medium Frequency
13956,5,01-04-2011,High Frequency
13959,3,01-12-2010,Medium Frequency
13960,2,,Medium Frequency
13962,2,01-04-2011,Medium Frequency
13963,4,01-12-2010,Medium Frequency
13967,1,,Low Frequency
13969,18,01-12-2010,High Frequency
13971,8,01-05-2011,High Frequency
13972,2,,Medium Frequency
13973,1,,Low Frequency
13974,1,,Low Frequency
13975,6,01-03-2011,High Frequency
13976,1,,Low Frequency
13978,2,,Medium Frequency
13979,1,,Low Frequency
13980,1,01-10-2011,Low Frequency
13982,4,01-12-2010,Medium Frequency
13983,12,01-12-2010,High Frequency
13984,5,01-12-2010,High Frequency
13985,15,01-05-2011,High Frequency
13986,1,,Low Frequency
13988,6,,High Frequency
13989,2,01-10-2011,Medium Frequency
13990,1,01-05-2011,Low Frequency
13991,6,,High Frequency
13992,1,01-11-2011,Low Frequency
13993,9,01-09-2011,High Frequency
13994,6,01-10-2011,High Frequency
13995,5,01-04-2011,High Frequency
13999,12,01-05-2011,High Frequency
14000,1,01-05-2011,Low Frequency
14001,3,01-12-2010,Medium Frequency
14002,2,01-07-2011,Medium Frequency
14004,7,01-08-2011,High Frequency
14005,5,01-05-2011,High Frequency
14006,3,01-04-2011,Medium Frequency
14009,2,,Medium Frequency
14012,1,01-03-2011,Low Frequency
14013,3,01-03-2011,Medium Frequency
14014,1,,Low Frequency
14015,1,,Low Frequency
14016,4,01-07-2011,Medium Frequency
14019,3,01-09-2011,Medium Frequency
14020,2,01-09-2011,Medium Frequency
14021,3,01-05-2011,Medium Frequency
14022,1,,Low Frequency
14023,2,01-04-2011,Medium Frequency
14024,2,01-08-2011,Medium Frequency
14027,1,01-10-2011,Low Frequency
14029,2,01-10-2011,Medium Frequency
14030,8,01-12-2010,High Frequency
14031,19,01-12-2010,High Frequency
14032,11,01-12-2010,High Frequency
14034,3,01-07-2011,Medium Frequency
14035,5,01-11-2011,High Frequency
14036,1,,Low Frequency
14037,2,01-12-2010,Medium Frequency
14038,3,,Medium Frequency
14039,1,01-11-2011,Low Frequency
14040,12,01-01-2011,High Frequency
14041,1,,Low Frequency
14044,4,01-02-2011,Medium Frequency
14045,4,01-12-2010,Medium Frequency
14046,1,,Low Frequency
14047,5,01-12-2010,High Frequency
14048,1,01-02-2011,Low Frequency
14049,4,01-07-2011,Medium Frequency
14050,2,01-11-2011,Medium Frequency
14051,23,01-12-2010,High Frequency
14052,1,,Low Frequency
14053,2,01-07-2011,Medium Frequency
14054,1,01-10-2011,Low Frequency
14055,1,,Low Frequency
14056,23,01-03-2011,High Frequency
14057,17,01-03-2011,High Frequency
14059,1,,Low Frequency
14060,19,01-12-2010,High Frequency
14062,12,01-12-2010,High Frequency
14064,5,01-03-2011,High Frequency
14066,1,,Low Frequency
14067,2,01-09-2011,Medium Frequency
14068,1,,Low Frequency
14071,8,01-11-2011,High Frequency
14073,1,01-11-2011,Low Frequency
14075,3,01-12-2011,Medium Frequency
14076,1,01-08-2011,Low Frequency
14077,5,01-03-2011,High Frequency
14078,6,01-12-2010,High Frequency
14079,1,01-08-2011,Low Frequency
14080,1,01-11-2011,Low Frequency
14081,2,01-12-2010,Medium Frequency
14082,1,01-12-2010,Low Frequency
14083,9,01-12-2010,High Frequency
14085,18,01-12-2010,High Frequency
14087,1,01-12-2011,Low Frequency
14088,13,01-06-2011,High Frequency
14089,1,,Low Frequency
14090,1,,Low Frequency
14092,14,01-09-2011,High Frequency
14093,1,,Low Frequency
14096,17,01-09-2011,High Frequency
14098,1,01-11-2011,Low Frequency
14099,11,01-05-2011,High Frequency
14100,1,,Low Frequency
14101,6,,High Frequency
14102,5,01-11-2011,High Frequency
14104,2,01-07-2011,Medium Frequency
14105,1,,Low Frequency
14107,7,01-12-2010,High Frequency
14108,2,01-11-2011,Medium Frequency
14109,1,,Low Frequency
14110,12,01-05-2011,High Frequency
14111,4,01-04-2011,Medium Frequency
14112,7,01-03-2011,High Frequency
14113,4,01-12-2011,Medium Frequency
14114,2,01-03-2011,Medium Frequency
14116,5,01-08-2011,High Frequency
14117,1,,Low Frequency
14121,4,01-10-2011,Medium Frequency
14124,1,,Low Frequency
14125,3,01-11-2011,Medium Frequency
14126,3,01-12-2011,Medium Frequency
14127,3,01-02-2011,Medium Frequency
14128,2,01-10-2011,Medium Frequency
14129,5,01-09-2011,High Frequency
14130,1,,Low Frequency
14132,11,01-06-2011,High Frequency
14133,3,01-08-2011,Medium Frequency
14135,15,01-12-2010,High Frequency
14138,2,01-10-2011,Medium Frequency
14139,1,,Low Frequency
14140,2,01-11-2011,Medium Frequency
14141,4,01-10-2011,Medium Frequency
14142,1,01-12-2010,Low Frequency
14143,1,,Low Frequency
14145,4,01-05-2011,Medium Frequency
14146,5,01-12-2011,High Frequency
14147,2,,Medium Frequency
14148,1,,Low Frequency
14149,1,01-05-2011,Low Frequency
14150,2,01-11-2011,Medium Frequency
14152,2,,Medium Frequency
14154,2,,Medium Frequency
14155,1,,Low Frequency
14156,55,01-12-2010,High Frequency
14157,2,,Medium Frequency
14158,1,,Low Frequency
14159,11,01-12-2010,High Frequency
14161,3,01-12-2010,Medium Frequency
14162,2,,Medium Frequency
14163,4,01-07-2011,Medium Frequency
14164,2,,Medium Frequency
14165,1,01-03-2011,Low Frequency
14167,4,01-01-2011,Medium Frequency
14171,1,01-09-2011,Low Frequency
14173,4,01-05-2011,Medium Frequency
14174,1,01-11-2011,Low Frequency
14175,3,01-10-2011,Medium Frequency
14176,4,01-12-2010,Medium Frequency
14177,4,01-09-2011,Medium Frequency
14178,7,01-06-2011,High Frequency
14179,2,,Medium Frequency
14180,25,01-12-2010,High Frequency
14184,1,01-10-2011,Low Frequency
14185,1,01-01-2011,Low Frequency
14188,6,01-02-2011,High Frequency
14189,15,01-12-2010,High Frequency
14191,13,01-05-2011,High Frequency
14193,2,01-10-2011,Medium Frequency
14194,21,01-02-2011,High Frequency
14195,2,01-04-2011,Medium Frequency
14196,1,,Low Frequency
14198,4,,Medium Frequency
14199,1,01-05-2011,Low Frequency
14201,7,01-05-2011,High Frequency
14204,1,01-12-2011,Low Frequency
14205,2,,Medium Frequency
14206,1,,Low Frequency
14208,1,01-09-2011,Low Frequency
14209,6,01-01-2011,High Frequency
14210,6,01-12-2010,High Frequency
14211,9,01-09-2011,High Frequency
14212,1,01-09-2011,Low Frequency
14214,5,01-03-2011,High Frequency
14215,6,01-12-2010,High Frequency
14216,4,01-11-2011,Medium Frequency
14217,17,01-12-2010,High Frequency
14218,1,,Low Frequency
14219,1,01-12-2011,Low Frequency
14220,2,01-04-2011,Medium Frequency
14221,9,01-01-2011,High Frequency
14222,1,,Low Frequency
14223,3,01-07-2011,Medium Frequency
14224,4,01-05-2011,Medium Frequency
14226,5,01-11-2011,High Frequency
14227,10,01-04-2011,High Frequency
14229,3,01-01-2011,Medium Frequency
14231,3,01-06-2011,Medium Frequency
14232,5,01-06-2011,High Frequency
14233,4,01-02-2011,Medium Frequency
14234,4,01-11-2011,Medium Frequency
14235,5,01-07-2011,High Frequency
14236,2,01-12-2010,Medium Frequency
14237,1,01-12-2010,Low Frequency
14238,1,,Low Frequency
14239,11,01-03-2011,High Frequency
14240,2,01-11-2011,Medium Frequency
14241,1,01-06-2011,Low Frequency
14242,2,,Medium Frequency
14243,10,01-12-2010,High Frequency
14245,2,01-05-2011,Medium Frequency
14246,3,01-04-2011,Medium Frequency
14247,1,01-03-2011,Low Frequency
14248,1,,Low Frequency
14250,3,01-09-2011,Medium Frequency
14251,5,01-12-2011,High Frequency
14256,2,01-12-2010,Medium Frequency
14257,5,01-06-2011,High Frequency
14258,9,01-01-2011,High Frequency
14259,1,,Low Frequency
14261,2,,Medium Frequency
14262,8,01-07-2011,High Frequency
14264,2,01-04-2011,Medium Frequency
14265,2,,Medium Frequency
14267,3,,Medium Frequency
14270,1,01-01-2011,Low Frequency
14271,1,,Low Frequency
14272,2,,Medium Frequency
14273,4,01-04-2011,Medium Frequency
14276,3,01-06-2011,Medium Frequency
14277,3,01-05-2011,Medium Frequency
14280,1,,Low Frequency
14282,15,01-12-2010,High Frequency
14284,2,01-11-2011,Medium Frequency
14285,4,01-11-2011,Medium Frequency
14286,3,01-04-2011,Medium Frequency
14287,3,01-12-2011,Medium Frequency
14288,1,01-05-2011,Low Frequency
14289,6,01-04-2011,High Frequency
14290,5,01-10-2011,High Frequency
14291,11,01-03-2011,High Frequency
14292,9,01-03-2011,High Frequency
14293,4,01-12-2010,Medium Frequency
14295,1,,Low Frequency
14297,4,01-03-2011,Medium Frequency
14298,44,01-01-2011,High Frequency
14299,9,01-12-2010,High Frequency
14300,1,,Low Frequency
14301,1,,Low Frequency
14304,1,01-05-2011,Low Frequency
14305,3,,Medium Frequency
14306,2,,Medium Frequency
14307,6,01-12-2010,High Frequency
14309,9,01-02-2011,High Frequency
14311,1,01-04-2011,Low Frequency
14312,6,01-01-2011,High Frequency
14314,1,,Low Frequency
14315,6,01-06-2011,High Frequency
14317,1,01-10-2011,Low Frequency
14320,2,01-01-2011,Medium Frequency
14321,5,01-01-2011,High Frequency
14323,2,,Medium Frequency
14326,1,01-04-2011,Low Frequency
14327,1,,Low Frequency
14329,7,01-03-2011,High Frequency
14331,2,01-08-2011,Medium Frequency
14332,3,01-10-2011,Medium Frequency
14333,1,01-10-2011,Low Frequency
14334,8,01-03-2011,High Frequency
14335,2,01-09-2011,Medium Frequency
14336,4,01-03-2011,Medium Frequency
14338,2,01-07-2011,Medium Frequency
14339,1,01-04-2011,Low Frequency
14340,1,01-05-2011,Low Frequency
14341,8,01-05-2011,High Frequency
14342,4,01-11-2011,Medium Frequency
14344,8,01-12-2010,High Frequency
14345,1,01-11-2011,Low Frequency
14346,2,01-08-2011,Medium Frequency
14348,1,,Low Frequency
14349,1,,Low Frequency
14350,1,01-03-2011,Low Frequency
14351,1,,Low Frequency
14352,4,01-03-2011,Medium Frequency
14353,1,01-05-2011,Low Frequency
14354,2,01-11-2011,Medium Frequency
14355,1,01-12-2010,Low Frequency
14356,2,,Medium Frequency
14357,1,,Low Frequency
14359,3,,Medium Frequency
14360,4,01-09-2011,Medium Frequency
14362,1,,Low Frequency
14364,8,01-05-2011,High Frequency
14367,16,01-03-2011,High Frequency
14368,1,,Low Frequency
14371,1,,Low Frequency
14373,1,,Low Frequency
14375,1,01-06-2011,Low Frequency
14377,2,01-06-2011,Medium Frequency
14379,2,,Medium Frequency
14381,1,,Low Frequency
14382,1,,Low Frequency
14383,3,01-10-2011,Medium Frequency
14385,3,,Medium Frequency
14386,1,,Low Frequency
14387,3,01-11-2011,Medium Frequency
14388,8,01-12-2010,High Frequency
14389,2,01-06-2011,Medium Frequency
14390,9,01-12-2010,High Frequency
14393,1,01-05-2011,Low Frequency
14395,9,01-12-2010,High Frequency
14396,2,01-12-2010,Medium Frequency
14397,19,01-05-2011,High Frequency
14400,1,,Low Frequency
14401,13,01-06-2011,High Frequency
14403,4,01-04-2011,Medium Frequency
14404,6,01-12-2010,High Frequency
14406,1,01-08-2011,Low Frequency
14407,6,01-03-2011,High Frequency
14408,7,01-06-2011,High Frequency
14409,6,01-12-2010,High Frequency
14410,9,01-02-2011,High Frequency
14411,1,01-02-2011,Low Frequency
14412,2,,Medium Frequency
14413,1,01-12-2010,Low Frequency
14414,7,01-09-2011,High Frequency
14415,13,01-02-2011,High Frequency
14416,2,,Medium Frequency
14418,3,01-12-2011,Medium Frequency
14419,6,01-12-2010,High Frequency
14420,1,01-09-2011,Low Frequency
14421,2,01-05-2011,Medium Frequency
14422,6,01-12-2011,High Frequency
14423,1,01-05-2011,Low Frequency
14424,1,,Low Frequency
14426,10,01-03-2011,High Frequency
14427,2,01-10-2011,Medium Frequency
14428,5,01-11-2011,High Frequency
14431,1,01-02-2011,Low Frequency
14432,6,01-09-2011,High Frequency
14434,6,01-10-2011,High Frequency
14436,1,01-09-2011,Low Frequency
14437,1,01-12-2010,Low Frequency
14438,1,01-02-2011,Low Frequency
14439,1,,Low Frequency
14440,5,01-12-2010,High Frequency
14441,4,01-09-2011,Medium Frequency
14442,2,,Medium Frequency
14443,4,01-12-2010,Medium Frequency
14446,4,01-04-2011,Medium Frequency
14447,5,01-03-2011,High Frequency
14448,2,01-12-2010,Medium Frequency
14449,4,01-12-2010,Medium Frequency
14450,3,01-04-2011,Medium Frequency
14451,2,01-10-2011,Medium Frequency
14452,2,01-09-2011,Medium Frequency
14453,1,01-06-2011,Low Frequency
14456,9,01-09-2011,High Frequency
14457,1,01-02-2011,Low Frequency
14459,1,01-07-2011,Low Frequency
14460,3,01-02-2011,Medium Frequency
14461,3,,Medium Frequency
14462,11,01-01-2011,High Frequency
14463,3,01-09-2011,Medium Frequency
14465,3,01-02-2011,Medium Frequency
14466,7,01-12-2010,High Frequency
14467,4,,Medium Frequency
14470,2,,Medium Frequency
14472,8,01-01-2011,High Frequency
14473,2,01-03-2011,Medium Frequency
14474,1,,Low Frequency
14475,3,01-02-2011,Medium Frequency
14476,1,,Low Frequency
14477,4,01-06-2011,Medium Frequency
14479,2,01-12-2010,Medium Frequency
14480,1,,Low Frequency
14481,2,,Medium Frequency
14482,6,01-09-2011,High Frequency
14483,1,01-03-2011,Low Frequency
14484,1,,Low Frequency
14485,1,01-11-2011,Low Frequency
14487,6,01-12-2010,High Frequency
14488,1,01-10-2011,Low Frequency
14489,1,,Low Frequency
14491,2,01-12-2010,Medium Frequency
14493,5,01-07-2011,High Frequency
14494,1,,Low Frequency
14495,2,01-08-2011,Medium Frequency
14496,2,01-12-2010,Medium Frequency
14497,1,01-02-2011,Low Frequency
14498,5,01-06-2011,High Frequency
14499,3,01-03-2011,Medium Frequency
14500,3,01-06-2011,Medium Frequency
14501,2,01-06-2011,Medium Frequency
14502,11,01-10-2011,High Frequency
14503,6,01-12-2011,High Frequency
14504,4,01-03-2011,Medium Frequency
14505,8,01-12-2010,High Frequency
14506,5,01-12-2010,High Frequency
14507,6,01-03-2011,High Frequency
14508,2,01-09-2011,Medium Frequency
14511,5,01-09-2011,High Frequency
14512,2,01-06-2011,Medium Frequency
14513,3,,Medium Frequency
14514,3,01-01-2011,Medium Frequency
14515,6,01-05-2011,High Frequency
14517,2,01-11-2011,Medium Frequency
14518,1,01-10-2011,Low Frequency
14520,2,01-12-2011,Medium Frequency
14522,4,01-09-2011,Medium Frequency
14523,1,,Low Frequency
14524,9,01-03-2011,High Frequency
14525,9,01-06-2011,High Frequency
14527,55,01-12-2010,High Frequency
14528,1,01-11-2011,Low Frequency
